config_id,pair_key,base_id,cornea_id,platform_id,pupil_mm,optic_state,reference_config_id,common_threshold,common_dof50_width_d,common_dof50_far_censored,common_dof50_near_censored
R8_R6_ATC_M3_AL24477_B0_HOA_MONO_EPD3,R6_ATC_M3_AL24477_B0_HOA_EPD3,ATC_M3_AL24477,B0,HOA,3.0,MONO,R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD3,0.2834710520336761,0.5030411465710547,False,False
R8_R6_ATC_M3_AL24477_B0_HOA_EDOF_EPD3,R6_ATC_M3_AL24477_B0_HOA_EPD3,ATC_M3_AL24477,B0,HOA,3.0,EDOF,R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD3,0.2834710520336761,0.0,False,False
R8_R6_ATC_M3_AL24477_B0_HOA_MONO_EPD5,R6_ATC_M3_AL24477_B0_HOA_EPD5,ATC_M3_AL24477,B0,HOA,5.0,MONO,R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD5,0.10353626062369405,0.6121496974109581,False,False
R8_R6_ATC_M3_AL24477_B0_HOA_EDOF_EPD5,R6_ATC_M3_AL24477_B0_HOA_EPD5,ATC_M3_AL24477,B0,HOA,5.0,EDOF,R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD5,0.10353626062369405,0.2880770725830513,False,False
R8_R6_ATC_M3_AL24477_C0_WFS_MONO_EPD3,R6_ATC_M3_AL24477_C0_WFS_EPD3,ATC_M3_AL24477,C0,WFS,3.0,MONO,R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD3,0.3181338364356005,0.4486709100195424,False,False
R8_R6_ATC_M3_AL24477_C0_WFS_EDOF_EPD3,R6_ATC_M3_AL24477_C0_WFS_EPD3,ATC_M3_AL24477,C0,WFS,3.0,EDOF,R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD3,0.3181338364356005,0.3787683208386303,False,False
R8_R6_ATC_M3_AL24477_C0_WFS_MONO_EPD5,R6_ATC_M3_AL24477_C0_WFS_EPD5,ATC_M3_AL24477,C0,WFS,5.0,MONO,R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD5,0.16486725210838477,0.38200412596644706,False,False
R8_R6_ATC_M3_AL24477_C0_WFS_EDOF_EPD5,R6_ATC_M3_AL24477_C0_WFS_EPD5,ATC_M3_AL24477,C0,WFS,5.0,EDOF,R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD5,0.16486725210838477,0.2919565256647141,False,False
R8_R6_ATC_M3_AL24477_C0_RAD_MONO_EPD3,R6_ATC_M3_AL24477_C0_RAD_EPD3,ATC_M3_AL24477,C0,RAD,3.0,MONO,R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD3,0.3211262585441685,0.44982002775651175,False,False
R8_R6_ATC_M3_AL24477_C0_RAD_EDOF_EPD3,R6_ATC_M3_AL24477_C0_RAD_EPD3,ATC_M3_AL24477,C0,RAD,3.0,EDOF,R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD3,0.3211262585441685,0.0,False,False
R8_R6_ATC_M3_AL24477_C0_RAD_MONO_EPD5,R6_ATC_M3_AL24477_C0_RAD_EPD5,ATC_M3_AL24477,C0,RAD,5.0,MONO,R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD5,0.21773435019515724,0.2371777317849778,False,False
R8_R6_ATC_M3_AL24477_C0_RAD_EDOF_EPD5,R6_ATC_M3_AL24477_C0_RAD_EPD5,ATC_M3_AL24477,C0,RAD,5.0,EDOF,R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD5,0.21773435019515724,0.0,False,False
R8_R6_ATC_M3_AL24477_C0_HOA_MONO_EPD3,R6_ATC_M3_AL24477_C0_HOA_EPD3,ATC_M3_AL24477,C0,HOA,3.0,MONO,R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD3,0.2834710520336761,0.5088756781103595,False,False
R8_R6_ATC_M3_AL24477_C0_HOA_EDOF_EPD3,R6_ATC_M3_AL24477_C0_HOA_EPD3,ATC_M3_AL24477,C0,HOA,3.0,EDOF,R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD3,0.2834710520336761,0.0,False,False
R8_R6_ATC_M3_AL24477_C0_HOA_MONO_EPD5,R6_ATC_M3_AL24477_C0_HOA_EPD5,ATC_M3_AL24477,C0,HOA,5.0,MONO,R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD5,0.10353626062369405,1.3410869601440452,True,False
R8_R6_ATC_M3_AL24477_C0_HOA_EDOF_EPD5,R6_ATC_M3_AL24477_C0_HOA_EPD5,ATC_M3_AL24477,C0,HOA,5.0,EDOF,R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD5,0.10353626062369405,0.5896918566017699,True,False
